GPE	ORG	PERSON
U.S.	ASSEMBLY	Dan Walker
Jr.	Suite	Gov Info
Hermosa Beach	the California Legislature	Madison
Redondo Beach	the California State Assembly	Johnson
Manhattan Beach	the State Legislature	Dan Walker
Los Angeles City Council	Assembly	Lenoré Johnson
C.R.	the Torrance City Council	Bowen
	OPPOSE	Debra Bowen
	DAN WALKER	Bill Jones
	REFUSED	Curt Pringle
	Harbor Commission	Lomita Councilman
	Jr. Cable Television Advisory Board	Sherie Nelson
	Historical Society	Bill Beverly
	Assembly	Ron Littlefair
	Torrance City Council	Pete LaCombe
	Nancy & Jerry Musick	Steve Barnes
	Youth Commission	Edie Webber :
	Anne & Chris Eliopulos	Michelle Brooks
	State	Torrance Cit
	Joan & Jack McSweency	Patricia McIntyre
	Beach City Council	Jim Maxwell
	Civil Service Commission	John Le Resche
	El Camino College	Bob Jones
	Lomita City Council	Judy Trombetta
	California State Firefighters Association National Federation of Independent Business	Steve Kuykendall
	Lomita Brian MacDonald	Bill Applegate
	Howard Jarvis Taxpayers Association	Torrance City Clerk
	Blue Ribbon Charter Revision Committee Chip Scholz	Fay Cudeback
	Cable Television Advisory Board	Sam Schauerman
	El Camino College Board	Harvey Horwich
	Congress	Maureen O'Donnell
	Shirley &	Joseph Arciuch Airport Commission
	Civic Center Authority	Walter Lull Rosalie Olson
		Paul Bannai
		Frank Rizzardi Planning Commission
		Dan Walker
		Greg Hill
		Doug Brown
		Charlotte Lambert
		Library Board
		Pat Grosscup
		Brad Parton
		Linda Barnett
		Terry Ward 
		Torrance Chamber Nick Mikulicich
		Robert Feuerstein Traffic Commission
		John Cruikshank Harbor Commission
		Susan Gibbons
		Jerry 
		Willis Delperdang
		Mike Mano Planning Com:
		Lynda Goddard Marilyn Katherman
		Robert Haag
		Dana Rohrabacher
		Assemblyman Rudy Svorinich
		John Bramhall
		C. David Serena
		Russ Nolte Commission
		Johnson
		Treasurer
		Ken Miller
		Cecilia Laxton
		Bob Beverly
		Dave Albert 
		Gerald Felando
		Burton Fletcher
		Matt Fong
		George Surber 
		Chuck Belba
		Rob Katherman
		Hal Croyts
		Thomas J. O'Donnell
		George Post
		George Former
		Ray Beeman
		Robert Benz 
		Pete Wilson
		Arnold Schmidt
		Don Lee
		Dick Cahill Traffic Commission
		Dick Rossberg
