GPE	ORG	PERSON	NORP
Santa Monica	the Valley Industry and Commerce Association	Bob	Activist
California	the Sherman Oaks Town Council	Neighborhood Watch	Democrats
San Fernando Valley Community Development Bank	the Los Angeles Alliance for a Drug Free Community	Ken Bernstein	LAUSD
Neighborhood Problems	State	Guy Rainer	
Mulholland	Democratic Party	Wayne Fisher Chair	
Studio City Residents’	Sherman Oaks Democratic Club	Flip Smith	
Sherman Oaks	Valley Business Journal	Ken Worthen	
Pres.	Chair, Government Affairs Committee	Joan Luchs Board	
A.D.	Tarzana Chamber of Commerce	Michael Bennet,Chair	
Past Pres	ASSEMBLY	Maury Weiner	
U.S.	Panorama City Optimist Club	CA 91401	
	POLITICAL	Steve Greenberg	
	Armenian Assembly of America	Reseda Merchants	
	SFV	Toni Brown Kimmel	
	Sepulveda Business Watch	W.J. Bellamy	
	The Hertzberg Committee	Laura Chick	
	LA City Council	Earl Broidy	
	Globe Tire	Johanna Williams Pres	
	LA Superior Court	Bradley E. Pomerance	
	NV Democratic Club	Adi Leiberman	
	Panorama Pharmacy	Beth Hillel	
	USA Direct	Dawn Davis	
	VICA	Shelley Duvall	
	Valley Torah High School	Richard Close	
	CA State Assembly	Larry Blumenstein	
	Ret	Jerry K. Fields	
	Medical Arts Pharmacy 	Jim Kaufman Rabbi	
	Mid-Valley Chamber of Commerce	Ed Edelman	
	Democratic Club	Stuart Waldman	
	Encino Chamber	Community Activist	
	SFV Board of Realtors	Chandler Bivd	
	Trustee	John Shegarian	
	Democratic Party Committee	Ken Ross	
	State Central Committee	Phil Serafin	
	VL-PEC	Larry Furman	
		Mimi Robins	
		Nancy McMillan	
		Carol Blad	
		Sandy Miller	
		Richard Katz	
		Gray Panthers	
		Steven Jacobs	
		Dennis Danziger	
		Exec	
		Ron Tassoff	
		Leonard Pitt	
		Lester Spielman	
		Sheila Kuehl	
		Helen Linson	
		Maps	
		Jay A. Goldberg	
		Eloise Crawford Pres	
		Shari Gamson	
		Helen Hartman Community	
		Karen Morin	
		John Perez Chair	
		Eric Bauman	
		Barbara Friedman	
		Sherman Oaks	
		Roberta Gillis	
		Nelson E. Brestoff Board	
		Larry Margo	
		Emeritus	
		Carlos Morgner Board	
		Freeman	
		Belle Palmer	
		Stuart Solomon	
		Lisa Luna	
		Wayne Adelstein	
		Ellen Bagelman Pres	
		Fernando Award Winner	
		Gov Info	
		Fred Gaines Board	
		Julie Korenstein School Board	
