ORG	GPE	NORP	PERSON
ge	Long Beach	Councilman	Frank Colonna
CAE	Wilmington	American	Councilman Councilwoman City of Long Beach
END	California	Thorpe	B. Allen Lay
Sr NEST	Oversaw		Ted Jamerson
ge eT	Long Beach City College’s		Steve Kuykendall
AP	Long Beach		Mebel
Palos Verdes Library District	California		C. Thomas Dean
Prop	Los Angeles		Moody Councilman Palos Verdes Estates
Lomita Belmont Shore Business Association	Long Beach		John McTaggart
U.S. Commission	D.D.S.		Robert Beck
Long Beach Board	Los Angeles City Councilman		Dean Emeritus
Board	Los Angeles		Robert Katherman Harold W. Ezell
the California Legislature	Rolling Hills Estates City		Corl
National Tax Limitation Committee	Los Angeles County Professional		Barbara Rauch
Assembly	Rolling Hills City Councilman		Lal REM
the State Treasury	Long Beach City Councilman		Sfndar Flr
Long Beach Unified School Board	Jr.		Don Knabe
the Select Committee	California		Steve
A Life of Service	Los Angeles County		Jeff Kellogg
Americans for Immigration Reform  Worked	Los Angeles County Sheriff		David L. Hauser
Assembly	U.S.		Sherman Bloc
Peninsula Education Foundation			Doug Drummond
St. Peters			Fd Eveland
Congress			Steve Kuykendall
Friends of Palos Verdes Peninsula Unified School District  Elder			Steve
U.S. Marine Corps			Lea
Exeter Association of Southern California			Councilman
Peninsula Chamber of Commerce			rin mee oer Ot
Economics Masters Degree			Howard Ezell
Business Administration			Craig
State			M.D.  Alice Edge
the Sea Presbyterian Church			Robert Virtue
Long Beach Chamber of Commerce			Matthias D. Kurzrock
Dr. & Mrs.			John Javage
AIA			Ed Eveland
Carol &			Peter Weber
California Correctional Peace			Dee Montfort
California Republican Party			Jeff King
California Manufacturers Association			San Pedro
Bill & Sharon Leake			Kathy Aschieris
Palos Verdes Peninsula School Board			George Babikian 
Mike & Jenni Todd			Rudy Svorinich
Palos Verdes Estates City Cour			Nancy Beck
Rita & Joe Barnett			Lou McCreight
M.D. Challice  Andrea & Harlin Cheatwood 			William E. Schuh
Board			Dick Gaylord
California Police Chiefs Association			Frank Hill
CLU			Michelle Emard  Brian & Patricia Eyres
California State			James A. Worsham
Palos Verdes Estates City Council			M.D. Denise Hardwick
Jim & Betty Willingham			Marjorie Scott
Debbie & Larry Wonder			Victor P. Vidugiris
State			Howard Ezell
D.V.M. Marion & Weldon Smith Cecil Spearman			Eunice Sato
Non-Profit Org			George Deukmejian
D.D.S.			Paul Voigt
Palos Verdes Estates			Lee
California Union of Safety Employees National Federation of Independent			Thomas Heinsheimer
Stanford & Elise Church  Frank & Michelle Colonna  ‘Stephen Conley 			Henry J. Meyer
M.D. Melina Morgan  Herb & Jane Myhre			Jean Danis
Kenneth & Katharina Koons			Kenneth A. Zuckerman
Joanne & Karl Schoetzow			J. David Shelmmer
Rolling Hills Estates			Tom Jacobsen
Barbara & Hal Donegan			R.M. Brown
Long Beach Community College			Phil Dauk 
			Peter Gardiner
			Carl Wayne
			Robert Louis Fisher
			John Benn
			Ron Stankey
			Hayes
			Laurie Slawson
			Jolaine Merrill
			Lillian Wallgren
			Ken Servis
			Jim Hayes Avalon
			Ruth Reeve
			Julianne Walker
			Susan Seamans
			Janet Smith
			Joan Walsh
			Jim Nyman
			Ellen Perkins
			Richard Jacobsen
			Jim Denton
			Sylvia B. Brouillette
			Barna S. Szabo
			June E. Unruh
			Gerard Goedhart
			Michael Schoettle
			Diana Martin
			John McTaggart
			Howard B. Homan
			Douglas Drummond
			Judith Scott
			Jack Harriman
			Rob Webb
			Nissen Davis
			Warren Harvard
			Henry M. Weiss
			David Hauser
			Pro Tem
			Laurie Koehler
			Tom Clark
			John B. Beal 
			Steve Yohai
			Ralph Morrow
			Michael Moody Palos Verdes Estates
			William Finer
			Cora Fishcher
			Bill Jones
			J. Conner
			Rick Pielago
			John Costello
			Charles W. Durnin
			C. Thomas Dean
			Sutter E. Kunkel
			Elaine Hutchison
			Brenton Goodrich
			Terence M. Hammer
			George M. Bragg
			John Tellez
			Michael J. Kilroy
			Marilyn Lyon
			Lee Byrd
			Barbara Rauch
			Robert Katherman
			M.D. Bill Pendleton
			Gail Cooper
			Hazel Malohn
			John J. McCarthy
			Malcolm George Smith
			Michael J. Smith
			Robert McCaman
			Ray Mattingly
			Lucille Aresco-Crowley
			Barbara Ferraro
			Dan Lungren
			Keith McCarthy
			Richard Wimbish
			Jean M. Misner
			B. Allen Lay
			Jerry Shultz
			Ruth Blair
			Philip M. Martinez
			Robert B. Stephens
			Milton Mabry
			Frank Blair
			Lawson Pedigo
			Steve Kuykendall
			George & Pat Ackerman  ‘Seymour Alban
			James P. Staes
			Bobbie Smith
			Larry Pasquali
			Gary Gertz
			Christopher J. Mannino
			Burton
			Anne G. Oliphant
			Dave “Cisco” Ruth
			Sue Stanyo
			Marilyn Katherman
			M.D.  Edward W. Arnold
			Matt Fong
			Richard Riordan
			Robert Beck
			Tom Hollingsworth
			Steve Octtinger
			Carl Cowan
			Carlo Baroncini
			Joyce B. Lorbeer
			Gerald W. Shonkwiler
			Pete Wilson
			Richard P. Meyer
			Emie Davis
			Mia Berlinger
			Lee V. Fairman
			Wallace Morgan
			Jeff Kellogg
			Martha House
			Karin Polachek
