GPE	NORP	ORG	PERSON
California	Republicans	California Teachers Association	Bob Hertzberg
	DEMOCRAT	the State Assembly	Assemblymembers
		National Organization for Women/California - PAC	Gloria Molina
		the National Organization for Women /San Fernando	Barbara Friedman 
		PAC	Councilmember Laura Chick
		National Organization for Women of the San Fernando Valley - PAC	Sheila Kuehl
		Assembly	Jean Morrison
		California Democratic Party	
		California Nurses Association	
		State Assembly	
		the Radical Right	
