GPE	ORG	PERSON	NORP
U.S.	Assembly	Jim Dantona	Democrat
California	Assembly	Dantona ocrat for	Toughest Democrat
L.A.	Southern California Alliance of Law Enforcement Peace Officers Research Association	Jim Dantona -	
	the California State Senate	¢	
	Century Club	Jim	
	FBI	¢ Supports	
	St. Ferdinand's School	David Roberti	
	State Senate Select Committee	Controller Gray Davis	
	California State Controller's Office	Robert F. Kennedy Memorial Foundation	
	Alemany High School	Humanitarian Award	
	Senate		
	Board of Directors		
	Los Angeles School Police Officers Association		
	Community Leadership Award		
	Baseballers Against Drugs		
	North Valley Little League		
	State		
	Cal State University		
	Alemany High School		
