GPE	NORP	ORG	PERSON
BERORM	Californians	ACTR	Legislative Lobbying
Sacramento	Californians	Supreme Court	Gore
California		Association	Potter
U.S.		K Street	Sullivan
CALIFORNIA		RR OEY TE RE 	Peterson
Sacramento		BMW	Fred Hiestand
		Legislature	Kirk West
		California Supreme Court	John H. Sullivan
		Lawsuit Appeals	Mike Carpenter
		ACTR	
		y. Superior Court	
		the Wilson Administration	
		California Chamber of Commerce	
		Association	
		Firestone	
		Political Action	
		the Association’s	
		Supreme Court	
