GPE	ORG	PERSON
SacRAMENTO	POLITICAL	Gov Info
California	BALLOT	Sullivan
Sacramento	Suite	Jami Warner/
California	TEL	Dracula
Sacramento	California Journal	Tina Harris
California	Association	John H. Sullivan
Sacramento	the Association for California Tort Reform	Gov Info
California	California Tort Reform	Maps
Sacramento	Legislature	FRIVOLOUS
Orange County	General Election	CA |.0.#96770
Sacramento	the Consulting Engineers	Sullivan
CALIFORNIA	Los Angeles Area Chamber of Commerce	Jami Warner/
San Jose Mercury News	California Journal	Dracula
	the Association for California Tort Reform	Tina Harris
	Legislature	John H. Sullivan
	the National Federation of Independent  Business	Sullivan
	California Business Properties Association	Mike Carpenter
	California Chamber of Commerce	John H. Sullivan
	the Assembly Judiciary Committee	Assemblyman Bill Morrow
	National Federation of Independent Business/California	Martyn B. Hopper
	State Legislative Analyst	FRIVOLOUS
	CA	B. Other
	The Coalition Against Unfair Attorneys’ Fees	CA |.0.#96770
	the Association for California Tort Reform	
	Department of Finance	
	Legislature	
	the Coalition Against Unfair	
	the Legislative Analyst	
	CA	
	Association	
	Department of Finance	
	Contracts	
	California Tort Reform	
	Legislature	
	General Election	
	Medical Injury Compensation Reform Act	
	1D Current	
	Legislature	
	Department of Finance	
	The Legislative Analyst	
	Legislature	
	the State Bar's	
	the State Bar	
	Initiative Sec	
	National Federation of Independent Business/California	
	K Street	
	Negotiate	
	Assembly Judiciary Committee	
	Association for California Tort Reform 	
	SUMMARY	
	Unfair es Fees	
	Initiative Statute	
	Legislature	
