NORP	ORG	PERSON	GPE
Californians	State	Paula	U.S.
Assemblywoman	Senate	Lawyer Schiff	
Americans	the California Civil Rights Initiative	Assemblywoman Paula Boland	
	the California Civil Rights Initiative	Chairwoman	
	Glendale News-Press	Paula Boland	
	THE CALIFORNIA CIVIL RIGHTS INITIATIVE  Lawyer	Adam Schiff	
	Boland	Paula Boland	
	State	Ward Connerly	
	Ocean View Blvd	Paula	
	State Senate	Oceanview Bivd	
	Senate		
	California Civil Rights Initiative 		
	Chair for State Senate Distr 		
	ASSEMBLY		
	CA		
	Boland		
	Glendale		
