GPE	NORP	ORG	PERSON
Sacramento	Californians	State	Wilbert Smith
Pasadena	D.	the State Assembly	Jane Crosby
D.C.	Jake Shirvanian	Burbank	Paula
Ill		Senate	Assemblywoman Paula
U.S.		Assembly Committee on Public Safety	Mike Hastings
Los Angeles County Sheriff		Glendale City Council	Mary Ann Plumley
Temple City		Boland	Joan Feehan Jack Hastings
Los Angeles County		Former School 	Paula Boland
Jr.		Board	Newt Russell
Los Angeles		the State Senate	Jane Crosby
		Councilmember Kenneth Gillanders 	Denise Delurgio 
		Distri Board	Lee Purdy
		John & Sharon Gregg	Gwynn Bacon
		Southern California Alliance of Law Enforcement	Joan Slater
		Boland	Leonard Levy William Logan
		Glendale	Takenouchi George Tannous
		California Union of Safety Employees  Citizens for Law & Order	Carvel
		Los Angeles Police Protective League  Glendale Police Officers Association	George A. Miller
		State	Cathe Wilson
		California Manufacturers Association	Terry Buchanan
		California Supreme Court	Jim
		Burbank	Mary
		Lucille Pershing	Dick Starr
		Howard Jarvis Taxpayers Association	Joan Feehan
		Besse Licher  FE	Thomas D. Breazeal
		California Correctional Peace Officers Association	Nancy Allen
		Southern California Taxpayers Alliance Citizens for Term-Limits	Norman Nelson
		California Council on Police & Sheriffs	Evelyn Bray
		Board	Gordon McDonough
		Society Burbank Association of Realtors Glendale Association of Realtors Foothill Association of Realtors 	Michael
		California Reserve Peace Officers Association	Lucy Highlands
		Boland Campaign Committee	Lynn T. Reitnouer
		California State Sheriffs’ Association  California Coalition of Law Enforcement Associations	Robert DePietro
			Bea Moyle
			Tony Sardo 
			Joe Hooven
			Elizabeth Lent
			Thomas Riley
			Eric Ashton
			Caroline Kinkle
			Bill White
			Bob Gregg
			Gumpertz 
			Sydney Bennett
			Jud Roberts
			Michael Hastings
			Frank De Santis
			Carl
			Marie Canella Stone
			Burnell Yarick
			B.K. Holderness
			Lucy
			Yolanda Reinhart
			Larry Zarian
			James T. Edwards
			O.K. Earl
			Tom Jeffers
			Ann Edmonston
			Rosemary Simmons
			James Stauffer
			Kathy Anthony 
			John Conlan
			Leman Herridge
			Salvatore Gangi
			David Carletta
			Al Vieri
			Richard Neiderberg
			Warren Jacob
			Michael D. Antonovich
			Bill
			Mike Smith
			Councilmember Ann-Marie Villicana
			Scott Ackerly
			Duane De Croupet
			Baldo Kristovich
			Johnston
			E.P.
			Angel Angel
			Newt Russell
			Frank Carlisi
			Farnaz Khankhanian
			Joseph Graziani
			Susan Clemens
			Paul Weisman
			Joyce Ayvazi
			Mark Davis
			John McNabb
			John Hedlund
			Richard J. Riordan
			John Davitt
			William Thomson
			Thomas Moore
			Jack Hastings
			Lynne Raggio Barret Weatherby
			John Goodlad
			William Dahlberg
			Ginger Bremberg
			Howard Dickson
			Elliot Graham
			Fran Buchanan
			Bill Wiggins
			Kenneth Martin
			Paul Rusnak
			Berdj Karapetian
			Michaelynn Cashion
			Wilbert Smith
			Allan Stone
			Peter Repovich
			Johnny Zamrzla
			Henry Braun
			Scott Schaffer
			Ollie Blanning
			Pat Gay Chuck
			Sally Perkins
			Genevieve Sultenfuss
			Ruth Dodson
			Don La Grange
			Alma Olney 
			Peter Musurlian
			Jane Whitaker
			Richard Ferraro
			Pro-Tem
			Jeanne Bentley
			Donald Reining
			Nancy
			John Krikorian
			Dave Greenbaum
			Shirley Darling
			Fred Fiedler
			John Locke
			Martha Evans
			Bert Boeckmann
			Rosemary Burnett
			Bill Slater
			Mary Moro
			Dolly Carl
			Craig Missakian
			Dorothy Heyne
			James
			Paula Boland
			Marco Brambilla
			John Llewellyn
			Lee Fogg 
			Paul Anding
			Robert Philibosian
			Frederik Der-Hacopian
			Helen Anderson
			Larry Rosine
			Armand Arabian
			Bill Plumley
			Bill Schirmer
			George Ossman
			John Gantus
			Barry Burnett
			Sheldon Baker
			Betty Cordoba
			Aaron Weissman
			Carlos Moorhead
			Mary Ann Plumley
			Joe
			Sophia Waugh
			Clark Drane
			George Deukmejian
			Linda Waldheim
			Dorothy Edouart
			Samuel Fink
			Hrayr Sassounian
			Richard Ray
			James Rogan
			Ed
			Tye Veden
			Donald Swabb
			Patrick Liddell
			Franklin Kam
