ORG	PERSON	GPE	NORP
CALIFORNIA SENATE - :	LI Ea	California	Pro-Tem
Fed	Gov Info	L.A	Jake Shirvanian
State	Paula	educati	ngeli
SENATE	TAOS	Pasadena	
BOLAND	Assemblywoman Paula Boland	D.C.	
Senate	Catherine Hazelton	Supporting	
the Assembly Education Committee	Paula Boland	U.S.	
UNS	Jane Crosby	Los Angeles County Sheriff	
School	Denise Delurgio 	Temple City	
Los Angeles Unified School District	Lee Purdy	Los Angeles County	
Councilmember Kenneth Gillanders 	Gwynn Bacon	Jr.	
Distri Board	Joan Slater		
State Senate	Carvel		
Southern California Alliance of Law Enforcement	George A. Miller		
Boland	Cathe Wilson		
Glendale	Jim		
California Union of Safety Employees  Citizens for Law & Order	Mary		
Los Angeles Police Protective League  Glendale Police Officers Association	Dick Starr		
State	Joan Feehan		
California Manufacturers Association	Thomas D. Breazeal		
California Supreme Court	Nancy Allen		
Lucille Pershing	Norman Nelson		
Howard Jarvis Taxpayers Association	Evelyn Bray		
Besse Licher  FE	Gordon McDonough		
Southern California Taxpayers Alliance	Michael		
California Correctional Peace Officers Association	Lucy Highlands		
California Council on Police & Sheriffs	Lynn T. Reitnouer		
Romy de Vera	Robert DePietro		
Advocate	Bea Moyle		
Society Burbank Association of Realtors Glendale Association of Realtors Foothill Association of Realtors 	Tony Sardo 		
California Reserve Peace Officers Association	Joe Hooven		
Boland Campaign Committee	Elizabeth Lent		
California State Sheriffs’ Association  California Coalition of Law Enforcement Associations	Thomas Riley		
	Caroline Kinkle		
	Bill White		
	Jack		
	Sydney Bennett		
	Jud Roberts		
	Michael Hastings		
	Frank De Santis		
	Carl		
	Marie Canella Stone		
	Burnell Yarick		
	William Logan		
	B.K. Holderness		
	Lucy		
	Jewel Sires		
	Larry Zarian		
	Yolanda Reinhart		
	Community Leaders		
	James T. Edwards		
	Ann Edmonston		
	Rosemary Simmons		
	James Stauffer		
	Kathy Anthony 		
	John Conlan		
	Leman Herridge		
	Alan Stone		
	Salvatore Gangi		
	David Carletta		
	Al Vieri		
	Richard Neiderberg		
	Warren Jacob		
	Bill		
	Mike Smith		
	Lee Logan		
	Councilmember Ann-Marie Villicana		
	Scott Ackerly		
	Duane De Croupet		
	Baldo Kristovich		
	Johnston		
	Angel Angel		
	Frank Carlisi		
	Farnaz Khankhanian		
	Joseph Graziani		
	Susan Clemens		
	Paul Weisman		
	Stanley Bryant		
	Joyce Ayvazi		
	Mary Lang		
	Mark Davis		
	John McNabb		
	Richard J. Riordan		
	Lloyd Boland		
	John Davitt		
	William Thomson		
	Michael D. Antonovich Hon		
	Thomas Moore		
	Jack Hastings		
	Lynne Raggio Barret Weatherby		
	John Goodlad		
	William Dahlberg		
	Ginger Bremberg		
	Glady Kabatack		
	Howard Dickson		
	Elliot Graham		
	Bill Wiggins		
	Kenneth Martin		
	Paul Rusnak		
	Henry “Hank” Arklin		
	Michaelynn Cashion		
	Wilbert Smith		
	Peter Repovich		
	Johnny Zamrzla		
	Henry Braun		
	Scott Schaffer		
	Ollie Blanning		
	Pat Gay Chuck		
	Sally Perkins		
	Genevieve Sultenfuss		
	Ruth Dodson		
	Don La Grange		
	Peter Musurlian		
	Jane Whitaker		
	Richard Ferraro		
	JoAnne Darcy		
	Jeanne Bentley		
	Donald Reining		
	Nancy		
	John Krikorian		
	Dave Greenbaum		
	Fred Fiedler		
	John Locke		
	Bert Boeckmann		
	Rosemary Burnett		
	Bill Slater		
	Mary Moro		
	Dolly Carl		
	James		
	Paula Boland		
	John Llewellyn		
	Lee Fogg 		
	Paul Anding		
	Robert Philibosian		
	Frederik Der-Hacopian		
	Helen Anderson		
	Larry Rosine		
	Armand Arabian		
	Bill Schirmer		
	George Ossman		
	John Gantus		
	Barry Burnett		
	Sheldon Baker		
	Betty Cordoba		
	Aaron Weissman		
	Earl 		
	Mary Ann Plumley		
	Joe		
	Sophia Waugh		
	George Deukmejian		
	Linda Waldheim		
	Dorothy Edouart		
	Samuel Fink		
	Hrayr Sassounian		
	James Rogan		
	Ed		
	Tye Veden		
	Donald Swabb		
	Richard Roy		
	Patrick Liddell		
	Leonard Levy		
	Franklin Kam		
