GPE	ORG	PERSON	NORP
California	Burbank	Gov Info	Pro-Tem
Mora-Zungia	POLITICAL	Jail Time	Shirvanian
U.S.	CALIFORNIA SENATE - < %	Adam Schiff	
Escobedo	California Republican Party Maps	W. Magnolia Blvd	
vHuerta	West Magnolia Boulevard Campaign Literature	Jane Crosby	
San Mari	CA 91506	Lee Purdy	
D.C.	Republican Party	Gwynn Bacon	
Temple City	halfway house	Joan Slater	
Clear	Burbank	Leonard Levy William Logan	
Los Angeles County	the California Republican Party	Carvel	
Jr.	Rodriguez-Murrillo	George A. Miller	
Los Angeles	the Federal District Court	Cathe Wilson	
	Hernandez-Sanchez	Terry Buchanan	
	Councilmember Kenneth Gillanders 	Jim	
	Los Angeles Police Protective League	Mary	
	California Coalition of Law Enforcement Board	Dick Starr	
	John & Sharon Gregg	Joan Feehan	
	Councilmember David Spence  Board	Thomas D. Breazeal	
	California Union of Safety Employees  Citizens for Law & Order	Nancy Allen	
	State	Norman Nelson	
	California Manufacturers Association	Evelyn Bray	
	California State Sheriffs’ Association	Gordon McDonough	
	Southern California Alliance of Law Enforcement	Michael	
	California Supreme Court	Lucy Highlands	
	Burbank	Lynn T. Reitnouer	
	Lucille Pershing	Robert DePietro	
	Howard Jarvis Taxpayers Association	Bea Moyle	
	Southern California Taxpayers Alliance Citizens for Term-Limits	Tony Sardo 	
	California Correctional Peace Officers Association  California Council on Police & Sheriffs 	Joe Hooven	
	Scott Ackerly  Associations	Elizabeth Lent	
	California Reserve Peace Officers Association	Thomas Riley	
	Society Burbank Association of Realtors Glendale Association of Realtors Foothill Association of Realtors 	Eric Ashton	
		Kathy Anthony Ollie Blanning	
		Caroline Kinkle	
		Michael D. 	
		Bill White	
		Bob Gregg	
		Gumpertz 	
		Sydney Bennett	
		Jud Roberts	
		Michael Hastings	
		Frank De Santis	
		Carl	
		Burnell Yarick	
		B.K. Holderness	
		Lucy	
		Yolanda Reinhart	
		Larry Zarian	
		Armand Arabian	
		James T. Edwards	
		Clifford Richards	
		O.K. Earl	
		Tom Jeffers	
		Ann Edmonston	
		Rosemary Simmons	
		George Tannous	
		James Stauffer	
		Salvatore Gangi	
		John Conlan	
		Leman Herridge	
		David Carletta	
		Al Vieri	
		Richard Neiderberg	
		Warren Jacob	
		Bill	
		Mike Smith	
		Councilmember Ann-Marie Villicana	
		Duane De Croupet	
		Baldo Kristovich	
		Johnston	
		E.P.	
		Angel Angel	
		Newt Russell	
		Frank Carlisi	
		Farnaz Khankhanian	
		Joseph Graziani	
		Susan Clemens	
		Paul Weisman	
		Joyce Ayvazi	
		Mark Davis	
		Elmer Stukey	
		John Hedlund	
		Richard J. Riordan	
		John Davitt	
		William Thomson	
		Thomas Moore	
		Jack Hastings	
		Lynne Raggio Barret Weatherby	
		John Goodlad	
		William Dahlberg	
		Ginger Bremberg	
		Howard Dickson	
		Elliot Graham	
		Fran Buchanan	
		Bill Wiggins	
		Kenneth Martin	
		Paul Rusnak	
		Berdj Karapetian	
		Michaelynn Cashion	
		Wilbert Smith	
		Allan Stone	
		Peter Repovich	
		Johnny Zamrzla	
		Lawrence Field	
		Henry Braun	
		Scott Schaffer	
		Pat Gay Chuck	
		Sally Perkins	
		Genevieve Sultenfuss	
		Ruth Dodson	
		Don La Grange	
		Alma Olney 	
		Peter Musurlian	
		Jane Whitaker	
		otin McNabb	
		Richard Ferraro	
		Jeanne Bentley	
		Donald Reining	
		Denise Delurgio Dean Hopley	
		Nancy	
		John Krikorian	
		Dave Greenbaum	
		Tea Marie Canella Stone	
		Shirley Darling	
		Besse Licher	
		Fred Fiedler	
		John Locke	
		Martha Evans	
		Bert Boeckmann	
		Rosemary Burnett	
		Bill Slater	
		Mary Moro	
		Dolly Carl	
		Craig Missakian	
		Dorothy Heyne	
		James	
		Paula Boland	
		Marco Brambilla	
		John Llewellyn	
		Lee Fogg 	
		Paul Anding	
		Robert Philibosian	
		Frederik Der-Hacopian	
		Helen Anderson	
		Larry Rosine	
		Bill Plumley	
		Bill Schirmer	
		George Ossman	
		John Gantus	
		Barry Burnett	
		Sheldon Baker	
		Betty Cordoba	
		Aaron Weissman	
		Carlos Moorhead	
		Mary Ann Plumley	
		Joe	
		Sophia Waugh	
		Clark Drane	
		George Deukmejian	
		Linda Waldheim	
		Dorothy Edouart	
		Samuel Fink	
		Hrayr Sassounian	
		Richard Ray	
		County Sheriff Sherman	
		James Rogan	
		Ed	
		Tye Veden	
		Donald Swabb	
		Patrick Liddell	
		Franklin Kam	
