GPE	ORG	PERSON
California	Burbank	Assemblywoman Paula Boland
U.S.	California Republican Party Non-Profit Org	Adam Schiff
Sacramento	Gov Info & :	Assemblywoman Paula Boland
QUOTAS	PAI ICAL - 1	Paula Boland
California	WAY	
California	California Civil Rights Initiative	
Us	Los Angeles Times	
Los AngelesCounty	Glendale News-Press	
Los Angeles	TOUGH	
	TAXES	
	WELFARE	
	Los Angeles Independent	
	California Reserve Peace	
	California State Sheriffs Association	
	California Council of Association	
