PERSON	ORG	NORP
Gov Info	Please	Councilwoman
Larry Gallagher	Hawrhorne School Board	
Larry Gallagher	California Construction and Builder Trades	
mM	Lawndale School Board	
ID#881531	Gardena Valley Democratic Club	
larry Gallagher	Centinela School Board	
Mas Fukai	Board	
Neil Roth		
Dorothy Green Founder		
Shirley Rudolph		
Craig Burris		
Councilman Norman		
Chuck Bookhammer		
Larry Rudolph		
Hawthorn		
Lathe t Guidi		
Virginia Rhodes		
Larry Gallagher		
Don Dear		
Mike Escalante		
Eleanor Escalante		
Jim Cragin		
