GPE	ORG	PERSON
Santa Monica/Malibu School District	LAW	Richard Bloom
Santa Monica City Council	CA	Michael Feinstein
Los Angeles	Congress	Tom Hayden
US	State Assembly	Henry Waxman
US	PROPOSITIONS	Patrick Murphy
	Democratic Party	Appearance
	ORDER	Margaret Franco
	Superior Court	Ken Genser
	LAW & ORDER	bs De meee
	Senate	Todd Hess
	Women’s Rights!	Dorothy Chapman
	Santa Monica Community College	William
	SANTA ANA	Sheila Kuehl
	Vote NO	Annette Shamey *
	CA	Al Gore
	Political Techn	Clinton
	SANTA ANA	Ban
		John Lynch
		Colin Powell
		Kelly Olsen
		Bill Clinton
		marijuana
		Appearance
		Gov Info
		Clinton
