ORG	PERSON	GPE	NORP
Improve Our Local Economy	QE	California	CAN'T
The Green Party	Para	Texas	Mexican American
CLCV Opponents	Gov Info	CA	Californians
League of Women Voters	Pete Wilson	Los Angeles	Korean
FOUGH	CA Common Cause	LA	Pro Tem
ACLU	Dan Lungren	California	KOREAN
CA Labor Fed	CA Teachers Assn	HMOs	Permits
CA League of Conservation Voters	Assn	Ann Park	BDIAD
CA	CA Assn	L.A	Cambios
National Federation of Independent	Bob Dole	Santa Monica Bay	
Labor Fed	Howard Jarvis Taxpayers Association	Los ANGELES	
National Lawyers Guild	Contingency	Assessor	
NAACP Legal Defense Fund	Gary Phillips	CALIFORNIA	
CA Dem.	SOMEONE	Riordan	
CA Teachers Association  Eliminate	DiscR IMinrTreN FROM	Los Angeles	
EQUAL	William Mitchell	LA	
Coalition LA's	CA Chamber	Bee INpusTRY DEVELOPMENT	
Mexican American Political Assn	Jack Kemp	SF	
Environmental Defense Fund	CA Repub	California	
AARP League	CA Common Cause	Puerto	
Save SF Bay Assn	Jerry Brown	Confiable	
American Friends Service Committee	Keating Victims	Aumento	
CA Labor Federation	Chuck Quackenbush	Limpia	
County Veterans Service	Harvey Rosenfield	Democratico	
Prop	Marijuana	BB	
Acer	Jim Hilfenhaus	US	
VA	Mario Valenzuela		
United We Stand America	Ved		
EXTREMISTS	Kim		
SIDERATIONS	Noni Lawyers		
Atty	Howard Jarvis Taxpayers Assn		
ACORN	Improvements Kal		
FIRST INSTANCE	Assemblymember John Vasconcellos		
NOW	Dan Lungren		
Women Voters	Joe Hicks		
Realtors	Jaane es Jeph Jt		
INITIANVE	Ralph Nader		
PETE	Bob Ciriello		
208 & 212	Julie Butcher		
Health Access	Kay Hixson Anthony ‘Thigpean		
City Council	Diana Contreras		
LA Current	Zev Yaroslavsky		
Green Party	Larry Frank		
United Policyholders  Protection of Patients’ Rights  Like	Asch Cit		
Securities Fraud Protection	Terence Hallinan		
California Council of Churches  Opponents	James Allen Mere		
Consumer Action	Kent Woag		
Consumer Federation	Rey Rodriguez		
Republican Party  Coalition LA	CA Assn		
CA	David Trujillo		
CA Chamber of Commerce	Mike Feuer		
Congress	Roy Hong		
CA Seniors	Abby Arnold		
Statewide Candidates	Officers Assn		
Coaltion LA	Gary Phillips		
Black Chamber of Commerce	Mike Feinstein		
Statewide Offices	AFSCME		
LA City Council	Bob McCloskey		
Coalition LA's	mike		
CA Labor Federation	Mes Saat Umtols Would		
Prop	Flay Haat Richard Linay		
CA Grocers Association	Andrea Adelman		
AARP	Gary Stewart		
CA Repub	Parks		
HMO	Marty Hittleman ‘Al Muratsuchi WesTibe CHAPTER		
CA Labor Federation  Opponents: Bank of America	Jitu		
CA Chamber of Commerce	Richard Alatorre		
State	Sherman		
CA Hotel & Motel Association	Ruth Galanter		
ACORN	Yoter		
AARP League of Women Voters	Paul Huebner		
MALDEF	Jackie Goldberg		
Mexican American Legal Defense and Educational Fund	Selig		
Second Increase Second Increase	domRceonecie Avis Vaan		
Neighbor	Atty		
CTA	J. Herrera		
CA Restaurant Association	Luke E. Williams		
National Venture Capital Association	Locat 535		
CA Insurance Industry Opponents	Rea Sh Wayman		
CA Chamber of  Commerce	Joselito Laudencia da un ORGANIZATION Facey Zell Supporters		
City Ethics Commission	Jackie Goldberg Supporters		
ASN	Meas Ralph		
Controller	Paul Gann		
incur bonded	Michele Prichard		
NATIONAL	Kathryn K. Imahara		
FS	Mary Brent Wehr ASIAN PACIFIC POLICY COUNCIL		
Sheriffs and Police Chiefs	Cindy Choi		
Federation of Independent Businesses  How We Are Organizing	K-12 Schoo		
Citizens Committee Opponents: League of Women Voters	ene Nyae ‘i ‘ 7 Wiliams		
Supporters: College Board of Trustees, College	marijuana		
WILMINGTON COMMUNITY	Agua Segura		
JUSTICE COORDINATING COUNCIL	Empleados de la Ciudad		
Garter Ameniment	al 213/745-6647		
LA Commission Presidents	Nombramientos		
LA CHAPTER Marvin & Maan	SL Mejoramiento de los Parques		
CALIFORNIA NURSES ASSOCIATION SEIU	del Paciente		
County Measure	Rec Improvements		
ACLU	Bl Sto		
HILL FOUNDATION	Reglamentos Falsos de Financiamiento		
Elabwa ASIAN PACIFIC	Préstamos de Casa		
LA County Board of Supervisors Supporters	Parks		
CA Labor Fed	Centros Recreativos		
California Teachers Assn	Al sz		
CALIFORNIA FEDERATION OF TEACHERS JAPANESE AMERICANS CITIZENS COUNCIL OF SENIOR CITIZENS BA	Garantia al Péblica		
League City Council	Reglamentos Sobre		
Ty GREEN PARTY	Comisién de Etica		
Congress	Mas Altos		
Civil Service Exemptions	Sl Beneficios Para Cényuges Sobrevivientes		
City Employee Pension Rules of Women Voters	Veteranos Prop		
School Board	Servicio Civil		
AER	Bonos		
League of Women Voters	Emitir Bonos Exencién		
CALIFORNIA SENIORS	Reforma de Financiamiento de Campaitas Electorales		
Gunes SEIU	Use Controlado de Marijuana		
LACC			
HMOs			
Opsiiboll			
Ll			
Oaks Homeowners Assn			
Recreation Improvements			
ps meagan			
CALI			
Harvey Rosenfield  Opponents: Hospital Council of Southern California			
AES			
Council Pres			
New Progressive LA			
United Teachers			
SEIU Local 347			
Natl			
Coalition LA			
the Los Angeles City Council			
LA Councilmember			
CA Chamber of Commerce  EAPAYES| Restore Top Income Tax Bracket  Restores			
Smith Surviving Spouse Benefits Bond Authority for Harbor, Airport			
Howard Jarvis Council			
LA Councilmembers Nate Holden & Hal E n			
LA Comuiolice Chie&			
Hoyrd			
DWP			
CA Nurses Association			
Howard Jarvis Taxpayers Association			
Libertarian Party			
fusacapii atthe afea’s			
