GPE	ORG	PERSON
Esq	SMC Trustee	Univ
California	California Faculty Association	Susan Cloke
UC	LA Industry-Education Council	Millie Rosenstein  Hon
	Santa Monica College Board of Trustees	Charles Stidd
	Chair Fellow	Harvey L. Stromberg
	Community College League	Alan Buckley
	Santa Monica College	Dennis Zane
	CSU	Paul Rosenstein
	National Science Foundation	Kathy Shamey
	Margie & Art Verge	Archie Morrison
	CSUN Technical Writer	Pam O'Connor Karin Pally
	SM Alliance for Non-Violence	Tony Prestby 
	CSUN	Ilona Jo Katz Hon
	California State University	Ken Breisch  Hon
	Ret	Robert A. Taft Institute
	Immaculate Heart College	Robert Niemann Hon
	Kathleen Weremiuk	Annette Ballester
	Education - Board of Trustees	Nancy Nieman
	Author  Board of Directors	Eric Parlee
	Pepperdine University	Julia Brownley
	Northridge	Michael Tarbet
	USC Center for Study of Religion & Civic Culture  Dolores Press	Dorothy Chapman
	Los Angeles Times Education Advisory Board	Bruce Cameron  Hon
	Police Activities League Board	Saul Morrison
	California Faculty Association - 3	Carole L. Currey
	Professional Memberships & Community Service - Assn	Charles Green
	Irene & Sam Zivi	Judy Abdo
	Strategic Planning Committee	Rodolfo Acuna
	SYOEHOIAN	Rita Lowenthal
	NI	Lou Moench
	ANO OL	Mary Kay & Sanjiv Kamath  Hon
		Nancy Greenstein
		Walter Keller
		Betty Mueller
		Martin L. Stiles
		Dorothy Ehrhart-Morrison
		Gloria Mottler
		Beth Leder-Pack
		Joanne Levitt
		Bonnie Kramer
		Dee
		Nancy G. Cattell
		Blenda Wilson
		Laurie Newman
		Herbert E. Roney
		Eileen Lipson
		Bill Putnam
		Davis
		George Reeves  Hon
		Frank Ponder  *
		Colin Petrie
		Nancy Desser
		Linda Sullivan
		Brenda Gottfried
		Yvette T. Cloutier
		MaVd
