GPE	ORG	NORP	PERSON
Santa Monica	School Board  Educational	Democrats	Sheila Kuehl Shari Davis
santa Monica	City Council City Council		Gov Info
U.S.	School Board		VOTE TUESD
Santa Monica	Community College Board		Henry Waxman
SANTA MONICA -	Inglewood		Paul Rosenstein
Sania	Democratic Leadership Club		Bill Clinton
	POLITICAL		Jo Katz
	Community College Board		
	Proposition 210 School Board 		
	The New Deal Democratic Club		
	Monica Democratic Leadership Club		
	Santa Monica Council		
	OVEM BE		
	State Assembly		
