GPE	ORG	PERSON	NORP
Santa Monica	POLITICAL	Gov Info	Americans
US	SANTA M'	CA Permit	Democratic
Santa Monica	Assembly	CA 90405	
Santa Monica’s	Northridge	Mark Gold	
Santa Monica’s	Housing	eae Logether	
California	Santa Monica College + Loring Emile	Paul	
Santa Monica + Herb Katz	Coalition for Clean Air + Dolores Press	Sheila Kuehl	
Santa Monica City Council	Recreation & Parks Commission	Henry Cisneros	
Santa Monica	Chair, Commission	Bill Clinton	
Santa	Architectural Review Board	Paul Rosenstein	
Vasquez	SMMUSD Child Development Advisory Committee	Henry Waxman	
	PatNichelson	Barbara Boxer	
	the Status of Women + Vivian	+ Alan Sieroty	
	Coastal	Martin Luther King Coalition	
	SMMUSD School Board	Bill Coleman	
	New Deal Democratic Club	Abby Sher	
	Rent Control Board	Steve Alpert	
	SMMUSD School Board + Frank Gruber	Thomas Mortensen	
	the Status of Women + Eric Parlee	+ Megan Cassidy	
	SMMUSD School Board + Guadalupe Castro	Lynn L. Emile	
	Social Services Commission	Daniel Cohen	
	Santa Monica College	Paul Rosenstein	
	Airport Commission	Irene Zivi	
	SMMUSD School Board + Karin Pally	Treasurer Tel	
	EE - Public Safety Facili	Janet Elaine Spinks	
	Santa Monica Dmeocratic Club	Robert Niemann	
	Democratic Leadership Club	Leslie Lambert	
	Board	Susan Cloke	
	Architectural Review Board	John Zinner	
	Housing Commission	Matt Kanny	
	Council	Herb Roney	
	Santa Monica College +	Julia Brownley	
	Member, Commission	Joel Goldfarb	
	Housing Commission + Annette Shamey	Katz	
	Planning Commission	Ernie Powell	
	Rent Control Board + Dorothy Chapman	Tom Soto	
	Coalition for Clean Air	+ Marvin Zeidler	
	Arts Commission	Judy Abdo	
	SMMUSD School Board	+ Antonio	
	Santa Monica Democratic Club	Irvin L. Edelstein	
	the Status of Women	Lou Moench	
	The New Deal Democratic Club	Mary K. Kamath	
	Trustee	Paul Rosenstein Supports	
	SMMUSD School Board + Doug Willis	Kathleen Weremiuk	
	Co-Chair	CA 90405	
	Connections for Children	Ada Hollie	
	the Status of Women + Rita Lowenthal	Mark Gold	
		Denny Zane	
		Treasurer	
		James Conn	
		Ehrhardt Morrison	
		+ Laurie Newman	
		Pro Tem	
		Brad Jones	
		Joanne Leavitt	
		Kathleen Sheldon	
		Eileen Hecht	
		Brenda Gottfried	
		Coleman	
