GPE	NORP	ORG	PERSON
Washington	Democrats	Medicare	S.E. *
Head Start	Americans	the Earned Income Tax Credit	ed 
Values	Republicans	Congress	Clinton
D.C.	Republican	Medicaid	Kennedy
n’t	Americans	the Democratic Party	S.E.
America	Democrats	EPA	Kennedy-Kassebaum
D.C.	American	The Clinton Budget	Clinton
Washington	Americans	GOP	¢
Kassebaum	American	Labor Support Health Insurance Reform	S.E. *
D.C.	Americans	the Democratic Party	Clinton
Washington	Americans	Common Sense Health Insurance Reform	Brady
America		the U.S. Chamber of Commerce	Clinton
D.C.		House	Dole
Washington		GOP	Cop Killer Assault Weapons Banned
S.E. *		Working Hard to Increase	Bob Dole
America		DEMOCRATIC NATIONAL COMMITTEE	Builds
Strcct		the Democratic Party	Requires
Washington		WIN	Bush
D.C.		the Minimum Wage	Clinton
America		The Violent Crime	Reagan Administrations
D.C.		Streets	S.E.
Washington		the Democratic Party	Laura Tyson
D.C.		Fight Crime	S.E. ¢
Washington		the Violence Against Women Act	Clinton
America		the Democratic Party	Clinton
D.C.		the Clinton Administration	Clinton
Washington		the Kennedy Administration	Bill Clinton
		National Economic Advisor  Issue Paper No.	¢ Teen
		WIN	¢ Revoking
		Clinton Administration	S.E. *
		The National Association of Purchasing Managers Index	
		Congress	
		the Union Address	
		the Democratic Party	
		State	
		Improve	
		The Democratic Party	
		GOP	
		the G-7	
		the Retirement Savings and Security Act	
		Congress	
		Working Families	
		the Democratic Party	
		DEMOCRATIC NATIONAL COMMITTEE	
		the White House	
		WIN	
		Retirement Savings	
		Institute	
		the Democratic Party	
		Welfare	
		the Clinton Administration	
