GPE	NORP	ORG	PERSON
New Jersey	Americans	National Press Club	Steve Forbes
United States	American	Forbes	PO Box
Washington	Republicans	President Committee, Inc	North ¢ Bedminster
America	American	wagon	John F. Kennedy
Washington	American	Boston Tea Party	Ronald Reagan
America	Americans	HUD	Bill Clinton
Washington, DC	American	Commerce, Energy, Education	Ronald Reagan
Washington	American	Social Security	Reagan
Washington	’s	IRS	
America	American	Congress	
U.S.	American	U.N.	
Values		Social Security	
Ill		this Press Club	
Washington			
America			
America			
