GPE	ORG	PERSON	NORP
Washington.in	Independent Leader & 	Jeff Lipow	Democrat
California	Congress	Controller	Jewish
Washington	Sherman	Jeff	Americans
State	Congress %&	Jeff Lipow	
Encino	FPPC	Sherman	
California	Board of Equalization Districts	Newt Gingrich	
Los Angeles	the Board of Equalization	Community Volunteer	
	RMC Corporation	\	
	Congress	Brad Sherman	
	the Behring/Hoffman Educational Museum	Jeff Lipow	
	the United Jewish Fund	Treasurer	
	the National Counsel	Jeff	
	the Women Helping Women  Legal Service	C00311048	
	Los Angeles Municipal Court	Rick Parker	
	the Aids Research Foundation	Pro-Tem	
